relation_id,source_game_id,source_title,source_steam_appid,target_game_id,target_title,target_steam_appid,why_similar_en,why_similar_zh,key_differences_en,key_differences_zh,best_for_en,best_for_zh,confidence,assessment_type,source_ids,source_urls,sources_captured_at,validated_at
factorio--satisfactory,factorio,Factorio,427520,satisfactory,Satisfactory,526870,"Both focus on designing automated production lines, moving materials by conveyor and expanding factories to produce more complex items.",两者都以设计自动化产线、用传送带运输物料和扩建工厂生产更复杂物品为核心。,"Factorio is viewed from above in a 2D world and includes base defense; Satisfactory is first-person, supports multi-story factories and places more emphasis on open-world exploration.",《Factorio》采用俯视 2D 世界并包含基地防御；《Satisfactory》是第一人称，支持多层工厂，并更强调开放世界探索。,Choose Satisfactory to build and explore from inside a 3D factory; choose Factorio for top-down logistics and defense.,想在 3D 工厂内部建造和探索可选《Satisfactory》；喜欢俯视物流规划与防御可选《Factorio》。,high,fact_checked_editorial,steam-store-factorio-b011 | steam-store-satisfactory-b012,https://store.steampowered.com/app/427520/ | https://store.steampowered.com/app/526870/,2026-08-14T03:17:03Z | 2026-08-14T03:18:24Z,2026-09-02
phasmophobia--demonologist,phasmophobia,Phasmophobia,739630,demonologist,Demonologist,1929610,Both are cooperative horror games for up to four players that ask a team to identify a supernatural threat using investigative equipment.,两者都是最多四人合作的恐怖游戏，队伍需要使用调查设备识别超自然威胁。,Demonologist explicitly includes an exorcism objective after identification; Phasmophobia focuses on gathering evidence and identifying the ghost type.,《Demonologist》在识别恶灵后还包含驱魔目标；《Phasmophobia》主要聚焦收集证据和判断鬼魂类型。,Choose Demonologist if completing an exorcism is important; choose Phasmophobia for an evidence-focused ghost investigation.,在意完成驱魔仪式可选《Demonologist》；偏好以证据为核心的鬼魂调查可选《Phasmophobia》。,high,fact_checked_editorial,steam-store-demonologist-b041 | steam-store-phasmophobia-b014,https://store.steampowered.com/app/1929610/ | https://store.steampowered.com/app/739630/,2026-08-15T06:27:06Z | 2026-08-14T03:22:36Z,2026-09-02
return-of-the-obra-dinn--the-case-of-the-golden-idol,return-of-the-obra-dinn,Return of the Obra Dinn,653530,the-case-of-the-golden-idol,The Case of the Golden Idol,1677770,"Both are single-player deduction games that present deaths as evidence puzzles and ask the player to identify people, events and motives.",两者都是单人推理游戏，把死亡现场作为证据谜题，让玩家判断人物、事件和动机。,Return of the Obra Dinn reconstructs events aboard a missing ship through first-person scenes; The Case of the Golden Idol uses static scenes across a connected murder conspiracy.,《Return of the Obra Dinn》通过第一人称场景还原失踪船只上的事件；《The Case of the Golden Idol》使用静态场景串联谋杀阴谋。,Choose Golden Idol for scene-by-scene conspiracy deduction; choose Obra Dinn for investigating one ship and reconstructing its crew's fate.,喜欢逐场景拆解阴谋可选《Golden Idol》；想围绕一艘船重建全体船员命运可选《Obra Dinn》。,high,fact_checked_editorial,steam-store-return-of-the-obra-dinn-b012 | steam-store-the-case-of-the-golden-idol-b012,https://store.steampowered.com/app/653530/ | https://store.steampowered.com/app/1677770/,2026-08-14T03:19:18Z | 2026-08-14T03:20:00Z,2026-09-02
the-witcher-3--skyrim-special-edition,the-witcher-3,The Witcher 3: Wild Hunt,292030,skyrim-special-edition,The Elder Scrolls V: Skyrim Special Edition,489830,"Both are single-player open-world fantasy RPGs built around exploration, quests and character progression.",两者都是围绕探索、任务和角色成长展开的单人开放世界奇幻 RPG。,The Witcher 3 follows the defined character and story of Geralt; Skyrim lets the player create a character and provides Steam Workshop mod support.,《The Witcher 3》围绕固定主角 Geralt 和他的故事展开；《Skyrim》允许玩家自建角色，并提供 Steam Workshop 模组支持。,Choose Skyrim for character creation and mod-supported exploration; choose The Witcher 3 for a defined protagonist and authored narrative.,想自建角色并使用模组探索可选《Skyrim》；偏好固定主角和作者化叙事可选《The Witcher 3》。,high,fact_checked_editorial,steam-store-skyrim-special-edition-b020 | steam-store-the-witcher-3-b020,https://store.steampowered.com/app/489830/ | https://store.steampowered.com/app/292030/,2026-08-14T11:21:35Z | 2026-08-14T11:21:18Z,2026-09-02
battle-brothers--wartales,battle-brothers,Battle Brothers,365360,wartales,Wartales,1527950,"Both are open-world tactical RPGs about recruiting, equipping and leading a mercenary company through contracts.",两者都是开放世界战术 RPG，玩家需要招募、装备并带领佣兵团完成合同。,Battle Brothers uses a procedurally generated single-player campaign; Wartales presents a large medieval world and supports online co-op.,《Battle Brothers》采用程序生成的单人战役；《Wartales》提供大型中世纪世界并支持在线合作。,Choose Wartales for a cooperative mercenary campaign; choose Battle Brothers for a procedurally generated solo company run.,想合作经营佣兵团可选《Wartales》；偏好程序生成的单人佣兵战役可选《Battle Brothers》。,high,fact_checked_editorial,steam-store-battle-brothers-b015 | steam-store-wartales-b067,https://store.steampowered.com/app/365360/ | https://store.steampowered.com/app/1527950/,2026-08-14T07:58:14Z | 2026-08-15T15:32:37Z,2026-09-02
blasphemous--blasphemous-2,blasphemous,Blasphemous,774361,blasphemous-2,Blasphemous 2,2114740,Both are single-player action-platformers about the Penitent One confronting the Miracle through exploration and demanding combat.,两者都是围绕 Penitent One 对抗 Miracle 展开的单人动作平台游戏，核心包含探索和高要求战斗。,Blasphemous 2 continues the story in a new world and expands weapon choice and traversal abilities; the first game introduces Cvstodia and the original pilgrimage.,《Blasphemous 2》在新世界延续故事，并扩展武器选择和移动能力；初代负责介绍 Cvstodia 和最初的朝圣旅程。,Start with Blasphemous for the original setting and story; choose Blasphemous 2 after that for expanded combat and traversal options.,想了解最初世界观和故事应先玩《Blasphemous》；之后可选《Blasphemous 2》体验扩展后的战斗与移动。,high,fact_checked_editorial,steam-store-blasphemous-2-b002 | steam-store-blasphemous-b008,https://store.steampowered.com/app/2114740/ | https://store.steampowered.com/app/774361/,2026-08-13T11:15:15Z | 2026-08-14T01:48:40Z,2026-09-02
coral-island--sun-haven,coral-island,Coral Island,1158160,sun-haven,Sun Haven,1432860,"Both are farming and life-simulation RPGs with relationships, crafting and online co-op.",两者都是包含关系培养、制作和在线合作的农场生活模拟 RPG。,"Coral Island uses a tropical island and ocean-restoration theme; Sun Haven uses fantasy towns, magic, monsters, skill trees and multiplayer for up to eight people.",《Coral Island》采用热带海岛和海洋修复主题；《Sun Haven》包含奇幻城镇、魔法、怪物、技能树和最多八人联机。,Choose Coral Island for tropical community and ocean activities; choose Sun Haven for fantasy progression and larger co-op groups.,喜欢热带社区和海洋活动可选《Coral Island》；想要奇幻成长和更大合作队伍可选《Sun Haven》。,high,fact_checked_editorial,steam-store-coral-island-b002 | steam-store-sun-haven-b002,https://store.steampowered.com/app/1158160/ | https://store.steampowered.com/app/1432860/,2026-08-13T11:12:45Z | 2026-08-13T11:13:48Z,2026-09-02
desperados-iii--shadow-tactics-blades-of-the-shogun,desperados-iii,Desperados III,610370,shadow-tactics-blades-of-the-shogun,Shadow Tactics: Blades of the Shogun,418240,Both are single-player tactical stealth games from Mimimi in which a small team combines specialist abilities to infiltrate guarded areas.,两者都是 Mimimi 制作的单人战术潜行游戏，玩家需要组合小队成员的专长潜入守卫区域。,Desperados III uses a Wild West setting; Shadow Tactics is set in Edo-period Japan and follows five specialists serving a shogun.,《Desperados III》采用美国西部背景；《Shadow Tactics》发生在江户时代日本，围绕为幕府服务的五名专家展开。,Choose by setting: Wild West tactics in Desperados III or Edo-period infiltration in Shadow Tactics.,可按题材选择：《Desperados III》是西部战术潜行，《Shadow Tactics》是江户时代渗透行动。,high,fact_checked_editorial,steam-store-desperados-iii-b047 | steam-store-shadow-tactics-blades-of-the-shogun-b015,https://store.steampowered.com/app/610370/ | https://store.steampowered.com/app/418240/,2026-08-15T07:35:20Z | 2026-08-14T07:57:23Z,2026-09-02
djmax-respect-v--ez2on-reboot-r,djmax-respect-v,DJMAX RESPECT V,960170,ez2on-reboot-r,EZ2ON REBOOT : R,1477590,"Both are Korean rhythm games on Steam with large song libraries, multiple key modes and online multiplayer.",两者都是登陆 Steam 的韩国节奏游戏，拥有大量曲目、多种按键模式和在线多人玩法。,DJMAX Respect V combines new modes with tracks from the DJMAX series and guest artists; EZ2ON Reboot:R remasters music and visuals from the EZ2DJ/EZ2ON catalogue while adding new songs.,《DJMAX Respect V》把 DJMAX 系列曲目、嘉宾音乐人和新模式结合；《EZ2ON Reboot:R》重制 EZ2DJ/EZ2ON 曲库的音乐与画面，同时加入新歌。,Choose based on the song catalogue and chart style you prefer; both support competitive online play.,可根据更喜欢的曲库和谱面风格选择；两者都支持在线竞技。,high,fact_checked_editorial,steam-store-djmax-respect-v-b027 | steam-store-ez2on-reboot-r-b039,https://store.steampowered.com/app/960170/ | https://store.steampowered.com/app/1477590/,2026-08-14T16:50:33Z | 2026-08-15T04:23:03Z,2026-09-02
gris--neva,gris,GRIS,683320,neva,Neva,2420660,"Both are single-player, hand-crafted adventures from Nomada Studio that use visual storytelling and changing environments to carry an emotional journey.",两者都是 Nomada Studio 制作的单人手工美术冒险，通过视觉叙事和环境变化承载情感旅程。,GRIS follows a young woman processing sorrow through platforming and new abilities; Neva follows a woman and a wolf across a dying world and includes more direct action combat.,《GRIS》讲述少女通过平台跳跃和新能力面对悲伤；《Neva》讲述女性与狼穿越衰败世界，并包含更直接的动作战斗。,Choose GRIS for a quieter platforming journey; choose Neva for a companion story with more combat.,喜欢更安静的平台冒险可选《GRIS》；想要同伴故事和更多战斗可选《Neva》。,high,fact_checked_editorial,steam-store-gris-b017 | steam-store-neva-b057,https://store.steampowered.com/app/683320/ | https://store.steampowered.com/app/2420660/,2026-08-14T09:42:17Z | 2026-08-15T11:25:49Z,2026-09-02
the-walking-dead--the-walking-dead-the-final-season,the-walking-dead,The Walking Dead,207610,the-walking-dead-the-final-season,The Walking Dead: The Final Season,866800,Both are single-player narrative adventures in Telltale's Walking Dead series where dialogue and player choices shape relationships and survival.,两者都是 Telltale《The Walking Dead》系列的单人叙事冒险，对话和玩家选择会影响关系与生存。,The first season follows Lee and Clementine near the start of the outbreak; The Final Season centers on the older Clementine protecting AJ and seeking a home.,第一季围绕疫情初期的 Lee 与 Clementine 展开；最终季聚焦长大后的 Clementine 保护 AJ 并寻找家园。,Play the first season to begin Clementine's story; play The Final Season after the preceding seasons to complete it.,想从头了解 Clementine 的故事应先玩第一季；完成前面各季后再玩最终季收尾。,high,fact_checked_editorial,steam-store-the-walking-dead-b032 | steam-store-the-walking-dead-the-final-season-b060,https://store.steampowered.com/app/207610/ | https://store.steampowered.com/app/866800/,2026-08-14T23:51:26Z | 2026-08-15T12:36:07Z,2026-09-02
until-dawn--the-quarry,until-dawn,Until Dawn™,2172010,the-quarry,The Quarry,1577120,Both are choice-driven cinematic horror games from Supermassive Games where a group can live or die according to player decisions.,两者都是 Supermassive Games 制作的选择驱动电影化恐怖游戏，角色是否生还取决于玩家决定。,Until Dawn is a single-player story set around a mountain lodge; The Quarry follows nine summer-camp counselors and includes shared-screen group play alongside multiplayer options.,《Until Dawn》是围绕山间小屋展开的单人故事；《The Quarry》讲述九名夏令营辅导员，并在多人玩法之外支持同屏群体游玩。,Choose The Quarry for a group movie-night format; choose Until Dawn for a focused single-player slasher story.,想多人一起体验电影之夜可选《The Quarry》；想专注单人砍杀片式故事可选《Until Dawn》。,high,fact_checked_editorial,steam-store-the-quarry-b046 | steam-store-until-dawn-b046,https://store.steampowered.com/app/1577120/ | https://store.steampowered.com/app/2172010/,2026-08-15T07:33:40Z | 2026-08-15T07:33:27Z,2026-09-02
coral-island--dinkum,coral-island,Coral Island,1158160,dinkum,Dinkum,1062520,"Both are island life-simulation games with farming, gathering, town development and cooperative play.",两者都是海岛生活模拟游戏，包含种植、采集、城镇发展和合作游玩。,Coral Island begins with an established community and emphasizes relationships and reef restoration; Dinkum asks the player to expand a settlement in an Australian-outback-inspired survival setting.,《Coral Island》从已有社区起步，更强调人际关系和珊瑚礁修复；《Dinkum》让玩家在受澳洲内陆启发的生存环境中扩建聚落。,Choose Coral Island for a relationship-rich tropical town; choose Dinkum for settlement building and survival gathering.,喜欢关系丰富的热带城镇可选《Coral Island》；喜欢聚落建设和生存采集可选《Dinkum》。,high,fact_checked_editorial,steam-store-coral-island-b002 | steam-store-dinkum-b002,https://store.steampowered.com/app/1158160/ | https://store.steampowered.com/app/1062520/,2026-08-13T11:12:45Z | 2026-08-13T11:13:55Z,2026-09-02
factorio--dyson-sphere-program,factorio,Factorio,427520,dyson-sphere-program,Dyson Sphere Program,1366540,"Both are factory-automation games about designing production lines, moving resources and scaling an industrial system.",两者都是工厂自动化游戏，核心是设计产线、运输资源和扩张工业系统。,Factorio builds across a 2D planetary surface and includes hostile creatures; Dyson Sphere Program expands production across planets and star systems toward a Dyson sphere.,《Factorio》在 2D 行星表面建设并包含敌对生物；《Dyson Sphere Program》把生产扩展到多颗行星和恒星系，目标是建造戴森球。,Choose Dyson Sphere Program for interplanetary logistics; choose Factorio for dense 2D factory planning and defense.,喜欢跨行星物流可选《Dyson Sphere Program》；喜欢密集的 2D 工厂规划和防御可选《Factorio》。,high,fact_checked_editorial,steam-store-dyson-sphere-program-b012 | steam-store-factorio-b011,https://store.steampowered.com/app/1366540/ | https://store.steampowered.com/app/427520/,2026-08-14T03:18:34Z | 2026-08-14T03:17:03Z,2026-09-02
fields-of-mistria--sun-haven,fields-of-mistria,Fields of Mistria,2142790,sun-haven,Sun Haven,1432860,"Both are pixel-art farming RPGs that combine town relationships with magic, exploration and combat.",两者都是像素风农场 RPG，把城镇关系与魔法、探索和战斗结合。,Fields of Mistria is single-player; Sun Haven supports online co-op for up to eight people and adds multiple fantasy towns and skill-tree progression.,《Fields of Mistria》是单人游戏；《Sun Haven》支持最多八人在线合作，并加入多个奇幻城镇和技能树成长。,Choose Sun Haven for multiplayer and broader fantasy progression; choose Fields of Mistria for a solo farm-life adventure.,想要多人联机和更广的奇幻成长可选《Sun Haven》；偏好单人农场生活冒险可选《Fields of Mistria》。,high,fact_checked_editorial,steam-store-fields-of-mistria-b002 | steam-store-sun-haven-b002,https://store.steampowered.com/app/2142790/ | https://store.steampowered.com/app/1432860/,2026-08-13T11:12:49Z | 2026-08-13T11:13:48Z,2026-09-02
hollow-knight-silksong--ori-and-the-blind-forest,hollow-knight-silksong,Hollow Knight: Silksong,1030300,ori-and-the-blind-forest,Ori and the Blind Forest: Definitive Edition,387290,"Both are single-player, visually distinctive 2D action-platformers built around exploring a large fantasy world and unlocking movement abilities.",两者都是视觉风格鲜明的单人 2D 动作平台游戏，核心是探索大型奇幻世界并解锁移动能力。,"Silksong emphasizes combat and ascent through a haunted kingdom; Ori and the Blind Forest places more emphasis on movement, escape sequences and Ori's story.",《Silksong》更强调战斗和向上探索被诅咒的王国；《Ori and the Blind Forest》更强调移动、逃生段落和 Ori 的故事。,Choose Ori for movement-led platforming and a compact story; choose Silksong for more combat-focused exploration.,喜欢以移动为主的平台挑战和紧凑故事可选《Ori》；想要更偏战斗的探索可选《Silksong》。,high,fact_checked_editorial,steam-store-hollow-knight-silksong-b002 | steam-store-ori-and-the-blind-forest-b008,https://store.steampowered.com/app/1030300/ | https://store.steampowered.com/app/387290/,2026-08-13T11:13:10Z | 2026-08-14T01:48:50Z,2026-09-02
need-for-speed-unbound--need-for-speed-heat,need-for-speed-unbound,Need for Speed™ Unbound,1846380,need-for-speed-heat,Need for Speed™ Heat,1222680,"Both are Need for Speed street-racing games built around customized cars, police pressure and a mix of daytime and nighttime competition.",两者都是《Need for Speed》街头赛车游戏，核心包含改装车辆、警察追捕以及白天与夜晚的竞赛。,Heat separates sanctioned daytime events from higher-risk night racing; Unbound uses weekly qualifiers and a graffiti-influenced visual style.,《Heat》把正规白天赛事与高风险夜间比赛分开；《Unbound》采用每周资格赛结构和受涂鸦影响的视觉风格。,Choose Heat for its day-and-night progression structure; choose Unbound for its qualifier format and stylized presentation.,喜欢昼夜分段成长可选《Heat》；喜欢资格赛结构和风格化表现可选《Unbound》。,high,fact_checked_editorial,steam-store-need-for-speed-heat-b038 | steam-store-need-for-speed-unbound-b026,https://store.steampowered.com/app/1222680/ | https://store.steampowered.com/app/1846380/,2026-08-15T04:17:43Z | 2026-08-14T16:48:45Z,2026-09-02
outlast--amnesia-the-dark-descent,outlast,Outlast,238320,amnesia-the-dark-descent,Amnesia: The Dark Descent,57300,"Both are single-player first-person survival-horror games centered on exploration, hiding and escaping rather than conventional armed combat.",两者都是单人第一人称生存恐怖游戏，重点是探索、躲藏和逃生，而不是常规武装战斗。,"Outlast follows a journalist using a camera in an asylum; Amnesia explores a castle with physics puzzles, a lantern and a sanity system.",《Outlast》让记者带着摄像机调查精神病院；《Amnesia》在城堡中加入物理解谜、提灯和理智系统。,Choose Outlast for pursuit-heavy found-footage horror; choose Amnesia for slower exploration and environmental puzzles.,喜欢追逐感强的伪纪录片恐怖可选《Outlast》；喜欢较慢探索和环境谜题可选《Amnesia》。,high,fact_checked_editorial,steam-store-amnesia-the-dark-descent-b070 | steam-store-outlast-b014,https://store.steampowered.com/app/57300/ | https://store.steampowered.com/app/238320/,2026-08-15T23:05:44Z | 2026-08-14T03:23:05Z,2026-09-02
team-fortress-2--overwatch-2,team-fortress-2,Team Fortress 2,440,overwatch-2,Overwatch®,2357570,Both are free-to-play team shooters in which players choose characters or classes with distinct tactical roles.,两者都是免费团队射击游戏，玩家需要选择拥有不同战术职责的角色或职业。,Team Fortress 2 is organized around nine classes and community-created content; Overwatch uses a larger hero roster with ability kits and 5v5 or 6v6 modes.,《Team Fortress 2》围绕九个职业和社区创作内容展开；《Overwatch》使用更大的英雄阵容、成套技能以及 5v5 或 6v6 模式。,Choose Team Fortress 2 for its class-based format and Workshop ecosystem; choose Overwatch for hero abilities and current objective modes.,喜欢职业制和 Workshop 生态可选《Team Fortress 2》；喜欢英雄技能和现行目标模式可选《Overwatch》。,high,fact_checked_editorial,steam-store-overwatch-2-b021 | steam-store-team-fortress-2-b043,https://store.steampowered.com/app/2357570/ | https://store.steampowered.com/app/440/,2026-08-14T11:27:02Z | 2026-08-15T06:29:14Z,2026-09-02
